Date	Sales Rep	Sales	Region
30-May-05	Mark	14900	North
31-May-05	Rajat	12400	South
05-Jun-05	Rajat	14150	South
07-Jun-05	Abhay	11100	South
09-Jun-05	Rajat	12650	East
12-Jun-05	Bruce	10800	East
13-Jun-05	Rajat	12950	East
14-Jun-05	James	11950	South
16-Jun-05	Varsha	10450	South
18-Jun-05	Anshika	13900	West
19-Jun-05	Swati	14900	West
19-Jun-05	Rajat	11850	North
22-Jun-05	Rajat	12700	East
23-Jun-05	Varsha	10400	North
29-Jun-05	Swati	10250	East
30-Jun-05	Swati	11950	South
30-Jun-05	Bruce	12200	North
01-Jul-05	Rajat	10500	West
02-Jul-05	Varsha	10050	South
06-Jul-05	Ramesh	12300	West
06-Jul-05	Varsha	12500	West
12-Jul-05	Rajat	14650	East
16-Jul-05	Ramesh	13850	East
18-Jul-05	Swati	10150	West
21-Jul-05	James	14750	South
24-Jul-05	Anshika	12700	South
25-Jul-05	Swati	12500	North
28-Jul-05	James	14600	East
01-Aug-05	Bruce	10000	North
01-Aug-05	James	13200	East
03-Aug-05	Rajat	13800	East
05-Aug-05	James	10000	West
05-Aug-05	Abhay	12400	South
06-Aug-05	Ramesh	13550	East
08-Aug-05	Mark	13650	West
08-Aug-05	Anshika	10850	East
08-Aug-05	Mark	12050	West
13-Aug-05	Veronica	14000	South
18-Aug-05	Veronica	11750	East
19-Aug-05	Rajat	11500	South
21-Aug-05	Bruce	13450	West
22-Aug-05	Ramesh	12750	South
23-Aug-05	Jaspreet	14650	East
25-Aug-05	Veronica	14600	East
25-Aug-05	Charley	10100	West
29-Aug-05	Veronica	11300	West
31-Aug-05	Ramesh	11200	South
02-Sep-05	Ramesh	10600	East
04-Sep-05	Veronica	10100	West
06-Sep-05	Ramesh	12700	West
13-Sep-05	Mark	11650	South
19-Sep-05	Veronica	11250	West
20-Sep-05	James	11400	West
21-Sep-05	Mark	12400	North
01-Oct-05	Anshika	10000	North
03-Oct-05	Ramesh	13550	West
05-Oct-05	Abhay	13050	West
06-Oct-05	Charley	14200	South
06-Oct-05	Rajat	10100	West
07-Oct-05	Rajat	14550	West
11-Oct-05	Jaspreet	10550	East
12-Oct-05	Swati	10050	East
12-Oct-05	Ramesh	14450	South
12-Oct-05	Mark	12050	West
13-Oct-05	Anshika	12250	South
14-Oct-05	Jaspreet	14500	East
15-Oct-05	Anshika	11200	East
16-Oct-05	Mark	13300	North
18-Oct-05	Bruce	12950	South
20-Oct-05	Ramesh	12850	North
20-Oct-05	Abhay	11800	East
24-Oct-05	Varsha	11500	East
25-Oct-05	Swati	12400	North
25-Oct-05	Bruce	13600	North
28-Oct-05	Varsha	10500	South
30-Oct-05	Charley	10900	South
31-Oct-05	Ramesh	10550	North
31-Oct-05	Bruce	12100	West
01-Nov-05	Anshika	10900	West
03-Nov-05	Swati	12900	West
07-Nov-05	Varsha	10400	South
09-Nov-05	Varsha	14450	East
14-Nov-05	Abhay	14350	North
16-Nov-05	Mark	13400	South
17-Nov-05	Bruce	14050	East
21-Nov-05	Abhay	10850	South
24-Nov-05	Abhay	11950	West
25-Nov-05	Swati	10700	North
27-Nov-05	Mark	11750	West
29-Nov-05	Charley	11500	South
04-Dec-05	Jaspreet	10600	West
04-Dec-05	Bruce	13850	West
05-Dec-05	Bruce	14550	East
08-Dec-05	Varsha	11800	East
11-Dec-05	Abhay	13750	West
21-Dec-05	Mark	15000	East
21-Dec-05	James	12450	North
24-Dec-05	Jaspreet	12400	South
25-Dec-05	Swati	11550	East
28-Dec-05	Rajat	14300	West
31-Dec-05	James	14150	North
01-Jan-06	Swati	13150	South
02-Jan-06	Ramesh	13800	North
03-Jan-06	Anshika	14500	South
05-Jan-06	Anshika	14350	North
07-Jan-06	Abhay	12550	North
07-Jan-06	Varsha	10050	East
09-Jan-06	Ramesh	14300	North
10-Jan-06	Varsha	14350	South
13-Jan-06	Veronica	13850	South
13-Jan-06	Swati	14250	East
15-Jan-06	Veronica	13500	North
17-Jan-06	Charley	14400	East
20-Jan-06	Jaspreet	12750	East
23-Jan-06	Anshika	12550	East
24-Jan-06	Jaspreet	13350	East
25-Jan-06	Veronica	12400	West
02-Feb-06	James	10100	West
04-Feb-06	Rajat	14950	North
06-Feb-06	Anshika	12400	East
06-Feb-06	Abhay	12100	North
18-Feb-06	Bruce	10450	East
18-Feb-06	Swati	11300	East
20-Feb-06	Varsha	13800	North
23-Feb-06	Bruce	10600	South
23-Feb-06	Anshika	14100	West
28-Feb-06	Charley	12700	West
01-Mar-06	Charley	12100	West
02-Mar-06	Varsha	13900	North
04-Mar-06	Anshika	13750	West
06-Mar-06	Abhay	12000	East
12-Mar-06	Swati	12350	South
12-Mar-06	Varsha	11050	North
13-Mar-06	Mark	12050	South
14-Mar-06	Ramesh	13850	West
14-Mar-06	Mark	11900	West
15-Mar-06	Veronica	11900	North
16-Mar-06	Abhay	11450	North
16-Mar-06	Swati	11850	South
18-Mar-06	Bruce	12300	North
26-Mar-06	Ramesh	12550	South
28-Mar-06	Varsha	13300	East
30-Mar-06	Charley	10150	East
01-Apr-06	Ramesh	13500	North
02-Apr-06	James	10900	North
04-Apr-06	Jaspreet	13000	South
06-Apr-06	Jaspreet	14350	West
10-Apr-06	Charley	13650	East
11-Apr-06	Charley	12900	West
12-Apr-06	Swati	13600	North
12-Apr-06	Jaspreet	14500	East
17-Apr-06	Varsha	11100	West
17-Apr-06	Ramesh	13250	South
19-Apr-06	Rajat	14750	North
20-Apr-06	Anshika	13450	South
21-Apr-06	James	12800	West
21-Apr-06	James	12150	East
22-Apr-06	Ramesh	14600	West
22-Apr-06	Bruce	14400	South
23-Apr-06	Varsha	11500	North
24-Apr-06	Charley	11600	South
25-Apr-06	Ramesh	13500	North
26-Apr-06	James	10450	West
30-Apr-06	Jaspreet	14700	South
06-May-06	Charley	14850	North
11-May-06	Swati	14150	West
14-May-06	Varsha	14850	West
15-May-06	James	13850	East
16-May-06	Mark	13350	North
17-May-06	Abhay	10300	West
18-May-06	Swati	11500	East
18-May-06	Rajat	12450	South
