Customer ID	Customer Name	phone	email	address	Opted Loyalty Program
100	Graiden Q. Holden	1-111-111-1111	venenatis.a@yy.ca	462-5740 Nec Av.	1
101	Rhona O. Walls	1-111-111-1112	bibendum.sed@aaa.edu	P.O. Box 572	1
102	Quamar H. Moreno	1-111-111-1113	non@hh.com	5437 Tellus Road	0
103	Joan V. Skinner	1-111-111-1114	eu.tempor.erat@aaa.org	P.O. Box 454	0
104	Sigourney Q. Galloway	1-111-111-1115	ipsum@ot.org	679-4046 Nibh. Ave	1
105	Gail K. Rogers	1-111-111-1116	est.arcu@aaa.edu	8339 Et	1
106	Clementine J. Finley	1-111-111-1117	ut.pharetra.sed@aaa.net	P.O. Box 185	1
107	Gisela A. Hendrix	1-111-111-1118	donec@gg.edu	Ap #485-3594 Enim	1
108	Quyn R. Mathews	1-111-111-1119	eget.metus.eu@hh.ca	915-5695 Elit. Rd.	1
109	Wade O. Gutierrez	1-111-111-1120	risus.at@ot.edu	9005 At	1
110	Brody V. Parsons	1-111-111-1121	mattis.integer.eu@ot.couk	685-1559 Massa. Av.	0
111	Dean H. Stokes	1-111-111-1122	eleifend.nunc@gg.couk	2121 Purus	0
112	Hop H. Delacruz	1-111-111-1123	massa.mauris@pm.org	Ap #758-4905 Orci. St.	0
113	Kato R. Woods	1-111-111-1124	sed.dictum@pm.org	Ap #909-7963 Cras Rd.	0
114	Astra D. Anderson	1-111-111-1125	hendrerit.donec@ot.org	413-5294 Consectetuer Rd.	1
115	Risa R. Manning	1-111-111-1126	enim@pm.edu	8194 Aliquet Av.	0
116	Eagan F. Brooks	1-111-111-1127	dui.nec@yy.net	P.O. Box 894	1
117	Zeph E. Briggs	1-111-111-1128	mauris.morbi.non@pm.ca	Ap #913-8737 Egestas St.	1
118	Tyler U. Bender	1-111-111-1129	convallis.dolor@bb.couk	P.O. Box 102	1
119	Jasmine W. Colon	1-111-111-1130	morbi.neque@yy.org	753-8967 Dui. St.	1
120	Zorita T. Moreno	1-111-111-1131	elementum.purus.accumsan@ot.net	Ap #122-5714 Enim Road	1
121	Montana A. Frederick	1-111-111-1132	nunc.commodo@yy.ca	789-6562 Varius Av.	1
122	Tarik W. Morse	1-111-111-1133	ut@ot.edu	Ap #525-1620 Odio Avenue	1
123	Haley F. Knowles	1-111-111-1134	dui.suspendisse@hh.com	Ap #810-4430 Integer St.	0
124	Kirsten J. Rocha	1-111-111-1135	consectetuer@ot.ca	169-3762 Dolor Av.	0
125	Sierra X. Roman	1-111-111-1136	integer.vitae@bb.ca	967-1349 Semper Avenue	0
126	Natalie P. Sullivan	1-111-111-1137	enim@yy.com	893-224 A	0
127	Reuben W. Stanton	1-111-111-1138	facilisis@aaa.couk	829-5363 Enim. Road	1
128	Tad J. Cabrera	1-111-111-1139	mattis.velit@aaa.ca	P.O. Box 963	1
129	Leigh R. Russo	1-111-111-1140	libero.mauris.aliquam@yy.net	Ap #333-7947 Curabitur St.	1
