FirstName,LastName,Gender,Street,HouseNumber,PostalCode,City,CountryCode,CountryRegionName,Latitude,Longitude,FormattedAddress,EmailAddress,TelephoneNumber,IPAddress,YearlyIncomeUSD,CustomerLifetimeValueUSD,NumberOfOrders,Issuer,CreditCardNumber,ExpiryDate,CVV
Hailee,Hilger,Female,Mountain Ash Way,8322,20879,Flower Hill,US,United States of America,39.165980,-77.171738,"8322, Mountain Ash Way, Flower Hill, Derwood, Montgomery County, Maryland, 20879, United States of America",hailee.hilger.356@outlook.com,+1 2318373502,127.116.69.207,44291.00,1387.25,4,MasterCard,5246088827546088,06/24,464
Samuel,Westerlund,Male,Fogdögatan,2,257 31,Rya,SE,Sweden,55.969011,12.770568,"2, Fogdögatan, Örby, Rya, Rydebäck, Helsingborgs kommun, Skåne County, Region Götaland, 257 31, Sweden",samuel.westerlund.194@outlook.com,+46 544756259544,30.192.193.14,30346.80,3337.00,3,Visa,4107868326910786,05/26,257
Stella,Grilc,Female,Grobelno,73,3231,Črnolica,SI,Slovenia,46.210497,15.442748,"73, Grobelno, Črnolica, Šentjur, 3231, Slovenia",stella.grilc.399@hotmail.com,+386 79040495,122.200.58.102,20542.20,1735.55,1,MasterCard,5245850425645850,05/25,445
Laura,Majerníková,Female,Janošíkovská,7,900 42,Jánošíková,SK,Slovakia,48.083536,17.260153,"Obecný úrad, 7, Janošíkovská, Jánošíková, Dunajská Lužná, Region of Bratislava, 90042, Slovakia",laura.majerníková.147@hotmail.com,+421 160856578,44.22.120.230,12235.00,1154.50,12,MasterCard,5228419345628419,09/28,845
Muzaffer,Güçer,Male,Gölcük Caddesi,No: 28,17500,Gelibolu,TR,Turkey,40.410240,26.670728,"Tekzen, No: 28, Gölcük Caddesi, Gelibolu, Canakkale, Marmara Region, 17500, Turkey",muzaffer.güçer.244@gmail.com,+90 3828088663,112.92.144.68,5857.00,501.05,1,MasterCard,5223608147823608,07/24,865
Zelay,Sidorova,Male,Chuhuyivska Street,4,61140,Качанівка,UA,Ukraine,49.973138,36.241298,"4, Chuhuyivska Street, Качанівка, Kharkiv, Слобідський район, Kharkiv city rada, Kharkiv Oblast, 61140, Ukraine",zelay.sidorova.300@hotmail.com,+380 977741902,35.200.161.130,13024.20,710.98,6,Maestro,5020300049015300,08/23,404
Brooke,Swales,Female,Butts Road,14a,GU34 1ND,Alton,UK,United Kingdom,51.145736,-0.980153,"Alton Conservative Club, 14a, Butts Road, Newtown, Alton, East Hampshire, Hampshire, South East, England, GU34 1ND, United Kingdom",brooke.swales.245@outlook.com,+44 2645397882,176.130.63.54,35515.60,3182.60,2,Maestro,5020386562568386,12/22,356
Agu,Cañete,Male,Adolfo Bullrich,1202,B1849,Claypole,AR,Argentina,-34.799962,-58.333258,"1202, Adolfo Bullrich, Claypole, Partido de Almirante Brown, Buenos Aires, B1849, Argentina",agu.cañete.283@gmail.com,+54 5568890535,40.113.239.101,16308.20,729.32,1,Visa,4101413346010141,07/21,849
Lorenz,Kohl,Male,Schloßstraße,19,3441,Einsiedl,AT,Austria,48.262489,15.968579,"19, Schloßstraße, Einsiedl, Gemeinde Sieghartskirchen, Bezirk Tulln, Lower Austria, 3441, Austria",lorenz.kohl.309@hotmail.com,+43 823359111,62.174.217.21,22147.60,3825.39,1,Maestro,5020373986028373,04/21,616
Mia,Larkin,Female,Jessie Street,148,2350,Armidale,AU,Australia,-30.517039,151.661707,"148, Jessie Street, Armidale, Armidale Regional Council, 2350, Australia",mia.larkin.105@hotmail.com,+61 198123609,90.26.26.118,40185.00,5267.40,4,Maestro,5020592131406592,08/28,394
