Customer_ID,Customer_Name,Birth_Date,Gender,Marital_Status
1,Simon,2000-01-01,Male,U
2,Tim,1990-03-02,Male,U
3,Mike,1985-03-09,Male,M
4,Jason,1976-10-01,Male,M
5,Andrew,1972-11-04,Male,U
6,Hosse,1990-12-31,Male,M
7,Jose,1960-09-06,Male,M
8,Jennifer,1985-08-25,Female,U
9,Ebony,1983-06-14,Female,M
10,Angela,2001-10-23,Female,M
11,Mickey,2004-01-08,Male,U
12,Donald,1999-05-13,Male,M
13,Nathan,1995-04-04,Male,M
14,Tina,1992-05-31,Female,M
15,Julia,1980-04-01,Female,M
16,Jasmine,1993-03-05,Female,U
17,Megan,1998-06-19,Female,U
18,Victor,1970-02-15,Male,M
19,Mathew,1967-03-01,Male,M
