CustomerKey,Customer Code,Title,Name,Birth Date,Marital Status,Gender,Yearly Income,Total Children,Children At Home,Education,Occupation,House Ownership,Cars Owned,Continent,City,State,CountryRegion,Address Line 1,Address Line 2,Phone,Date First Purchase,Customer Type,Company Name
4,11003,,"Zhu, Christy",15-02-1968 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,North Ryde,New South Wales,Australia,1825 Village Pl.,,1 (11) 500 555-0162,01-07-2001 00:00,Person,
7,11006,,"Alvarez, Janet",06-12-1965 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Matraville,New South Wales,Australia,2612 Berry Dr,,1 (11) 500 555-0184,27-07-2001 00:00,Person,
104,11103,,"Chande, Cassie",17-10-1964 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Darlinghurst,New South Wales,Australia,9448 San Marino Ct.,,1 (11) 500 555-0166,16-10-2001 00:00,Person,
106,11105,,"Fernandez, Candace",28-12-1964 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Matraville,New South Wales,Australia,5029 Blue Ridge,,1 (11) 500 555-0162,14-11-2001 00:00,Person,
109,11108,,"Alvarez, Kari",14-07-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Port Macquarie,New South Wales,Australia,9178 Thornhill Place,,1 (11) 500 555-0169,03-11-2001 00:00,Person,
446,11445,,"Kim, Kari",21-07-1974 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Silverwater,New South Wales,Australia,977 Davona Drive,,1 (11) 500 555-0136,07-12-2001 00:00,Person,
447,11446,,"Chander, Bethany",12-08-1974 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Lane Cove,New South Wales,Australia,3464 Chilpancingo Park,,1 (11) 500 555-0179,19-12-2001 00:00,Person,
452,11451,,"Muñoz, Ruben",09-11-1974 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,4,Asia,Newcastle,New South Wales,Australia,3255 Olive Hill,,1 (11) 500 555-0142,29-01-2002 00:00,Person,
915,11914,,"Rana, Meagan",08-05-1968 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Port Macquarie,New South Wales,Australia,7867 F Mt Hood Circle,,1 (11) 500 555-0118,20-04-2002 00:00,Person,
916,11915,,"Carlson, Philip",16-03-1968 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Port Macquarie,New South Wales,Australia,6672 Mt. Dias Blvd.,,1 (11) 500 555-0110,04-04-2002 00:00,Person,
918,11917,,"Sanz, Roy",22-10-1965 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Darlinghurst,New South Wales,Australia,5087 Valle Vista Avenue,,1 (11) 500 555-0156,29-04-2002 00:00,Person,
1003,12002,,"Lopez, Adriana",06-02-1964 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Lane Cove,New South Wales,Australia,5420 Thornwood Drive,,1 (11) 500 555-0120,27-05-2002 00:00,Person,
1338,12337,,"Goldstein, Dustin",09-10-1975 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Lavender Bay,New South Wales,Australia,9343 Ironwood Way,,1 (11) 500 555-0190,07-06-2002 00:00,Person,
1343,12342,,"Young, Morgan",09-03-1975 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,3,Asia,Sydney,New South Wales,Australia,2807 10th Avenue,,1 (11) 500 555-0195,13-07-2002 00:00,Person,
1669,12668,,"Patterson, Melissa",26-04-1976 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,2,Asia,Wollongong,New South Wales,Australia,806 San Jose Drive,,1 (11) 500 555-0157,13-08-2002 00:00,Person,
1671,12670,,"Martinez, Sarah",21-07-1975 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Sydney,New South Wales,Australia,977 Davona Drive,,1 (11) 500 555-0185,26-08-2002 00:00,Person,
2013,13012,,"Hu, Krystal",24-09-1965 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Goulburn,New South Wales,Australia,6534 Leslie Avenue,,1 (11) 500 555-0165,21-10-2002 00:00,Person,
2105,13104,,"Becker, Gregory",12-04-1963 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Darlinghurst,New South Wales,Australia,5617 Landing Dr,,1 (11) 500 555-0173,12-12-2002 00:00,Person,
2124,13123,,"Raji, Kelli",04-05-1964 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Coffs Harbour,New South Wales,Australia,6146 Holland Drive,,1 (11) 500 555-0117,16-12-2002 00:00,Person,
2129,13128,,"West, Colleen",23-04-1964 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Springwood,New South Wales,Australia,3302 Alan Dr,,1 (11) 500 555-0119,31-12-2002 00:00,Person,
2620,13619,,"Xu, Arturo",11-05-1976 00:00,M,M,70000,0,0,Bachelors,Professional,House Owner,3,Asia,Rhodes,New South Wales,Australia,6111 Guadalajara,,1 (11) 500 555-0173,21-01-2003 00:00,Person,
2621,13620,,"Ye, Damien",01-02-1976 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Coffs Harbour,New South Wales,Australia,9167 Jam Way,,1 (11) 500 555-0178,07-01-2003 00:00,Person,
4221,15220,,"Liu, Micah",10-09-1964 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Darlinghurst,New South Wales,Australia,6247 Aspen Drive,,1 (11) 500 555-0156,28-05-2003 00:00,Person,
